symbol,year,n_earnings_dates,first_earnings_date,last_earnings_date,reported_eps_q1,reported_eps_q2,reported_eps_q3,reported_eps_q4,eps_estimate_q1,eps_estimate_q2,eps_estimate_q3,eps_estimate_q4
A,2002,4,2002-02-19,2002-11-18,-0.29,-0.24,-0.31,nan,-0.49,-0.23,-0.15,-0.11
A,2003,4,2003-02-21,2003-11-17,-0.23,-0.15,-0.02,0.15,-0.26,-0.15,-0.07,0.05
A,2004,4,2004-02-17,2004-11-11,0.21,0.24,0.3,0.3,0.22,0.24,0.28,0.31
A,2005,4,2005-02-14,2005-11-14,0.2,0.2,0.28,0.38,0.19,0.2,0.26,0.37
A,2006,4,2006-02-13,2006-11-14,0.32,0.34,0.41,0.47,0.31,0.36,0.38,0.49
A,2007,4,2007-02-15,2007-11-15,0.3,0.36,0.41,0.48,0.34,0.38,0.43,0.48
A,2008,4,2008-02-13,2008-11-14,0.34,0.46,0.53,0.62,0.37,0.44,0.51,0.59
A,2009,4,2009-02-17,2009-11-13,0.2,0.13,0.15,0.32,0.28,0.13,0.11,0.23
A,2010,4,2010-02-12,2010-11-12,0.38,0.43,0.54,0.65,0.32,0.41,0.48,0.6
A,2011,4,2011-02-14,2011-11-15,0.6,0.74,0.77,0.84,0.57,0.65,0.73,0.81
A,2012,4,2012-02-15,2012-11-19,0.69,0.78,0.79,0.86,0.69,0.73,0.83,0.8
A,2013,4,2013-02-14,2013-11-14,0.63,0.77,0.68,0.81,0.67,0.67,0.62,0.76
A,2014,4,2014-02-13,2014-11-17,0.67,0.72,0.78,0.88,0.66,0.73,0.74,0.89
A,2015,4,2015-02-17,2015-11-16,0.41,0.38,0.44,0.5,0.41,0.39,0.41,0.47
A,2016,4,2016-02-16,2016-11-15,0.46,0.44,0.49,0.59,0.43,0.39,0.47,0.52
A,2017,4,2017-02-14,2017-11-20,0.53,0.58,0.59,0.67,0.49,0.48,0.52,0.62
A,2018,4,2018-02-14,2018-11-19,0.66,0.65,0.67,0.81,0.58,0.64,0.63,0.74
A,2019,4,2019-02-20,2019-11-25,0.76,0.71,0.76,0.89,0.73,0.72,0.72,0.86
A,2020,4,2020-02-18,2020-11-23,0.81,0.71,0.78,0.98,0.81,0.61,0.67,0.94
A,2021,4,2021-02-16,2021-11-22,1.06,0.97,1.1,1.21,0.9,0.83,0.99,1.18
A,2022,4,2022-02-22,2022-11-21,1.21,1.13,1.34,1.53,1.18,1.12,1.21,1.39
A,2023,4,2023-02-28,2023-11-20,1.37,1.27,1.43,1.38,1.31,1.26,1.37,1.34
A,2024,4,2024-02-27,2024-11-25,1.29,1.22,1.32,1.22,1.23,1.19,1.26,1.29
A,2025,4,2025-02-26,2025-11-24,1.31,1.31,1.37,1.59,1.27,1.26,1.37,1.58
A,2026,1,2026-02-25,2026-02-25,nan,nan,nan,nan,1.37,nan,nan,nan
AA,2016,1,2016-12-01,2016-12-01,nan,nan,nan,-0.04,nan,nan,nan,0.11
AA,2017,4,2017-01-24,2017-10-18,0.14,0.63,0.62,0.72,0.24,0.48,0.58,0.75
AA,2018,4,2018-01-17,2018-10-17,1.04,0.77,1.52,0.63,1.23,0.73,1.32,0.34
AA,2019,4,2019-01-16,2019-10-16,0.66,-0.23,-0.01,-0.44,0.5,-0.13,-0.06,-0.29
AA,2020,4,2020-01-15,2020-10-14,-0.31,-0.23,-0.02,-1.17,-0.22,-0.17,-0.05,-1.25
AA,2021,4,2021-01-20,2021-10-14,0.26,0.79,1.49,2.05,0.07,0.46,1.31,1.8
AA,2022,4,2022-01-19,2022-10-19,2.5,3.06,2.67,-0.33,1.91,2.79,2.49,0.18
AA,2023,4,2023-01-18,2023-10-18,-0.7,-0.23,-0.35,-1.14,-0.7,nan,-0.44,-1.07
AA,2024,4,2024-01-17,2024-10-16,-0.56,-0.81,0.16,0.57,-0.86,-0.44,0.09,0.3
AA,2025,4,2025-01-22,2025-10-22,1.04,2.15,0.39,-0.02,1.01,1.41,0.39,-0.05
AA,2026,1,2026-01-22,2026-01-22,nan,nan,nan,nan,1.01,nan,nan,nan
AAL,2014,4,2014-01-28,2014-10-23,0.59,0.54,1.98,1.66,0.55,0.48,1.95,1.64
AAL,2015,4,2015-01-27,2015-10-23,1.52,1.73,2.62,2.77,1.51,1.7,2.6,2.72
AAL,2016,4,2016-01-29,2016-10-20,2.0,1.25,1.77,1.76,1.97,1.19,1.68,1.69
AAL,2017,4,2017-01-27,2017-10-26,0.92,0.61,1.92,1.42,0.92,0.57,1.86,1.4
AAL,2018,4,2018-01-25,2018-10-25,0.95,0.75,1.63,1.13,0.92,0.71,1.59,1.13
